x,y
9.971907,5.983774
12.867895,4.372874
11.04178,5.941874
12.077263,3.623934
11.535083,6.205125
11.827382,6.25148
10.863642,4.671946
11.348946,4.629896
8.954476,4.383867
10.925786,6.706101
10.260649,3.834587
10.203263,5.150968
10.423986,4.569341
11.371052,3.935883
10.477665,3.392925
9.895518,5.443619
10.440899,5.713953
11.121453,5.063595
11.592689,6.318282
9.061274,4.473963
9.380286,3.576799
12.499389,5.149698
8.665877,3.143333
7.331692,5.132335
6.96835,2.778652
10.408394,5.844773
7.348567,4.120673
11.383228,4.252348
9.09439,5.604438
10.074641,5.439941
8.574621,3.742201
7.667647,2.060964
8.352938,4.286206
9.682795,7.499545
12.031047,8.113024
10.891731,7.773583
11.649332,3.82352
12.058344,7.785693
9.6946,1.82922
13.207391,4.659012
7.809829,4.574762
7.864861,3.502597
9.690493,3.321469
7.161264,5.123813
10.240615,7.023936
8.343776,5.64735
10.282306,3.840241
10.863485,4.27068
10.193343,6.638645
12.493392,6.25769
9.438227,4.105819
8.605322,3.152675
11.162856,4.138549
8.031859,2.967175
11.460821,4.601362
10.827093,6.207203
10.985698,5.789479
12.987588,5.380951
12.419635,6.187716
9.591533,7.990143
9.875872,4.862956
11.188012,6.425372
11.783478,7.180055
9.945228,4.101407
11.102852,3.932172
8.532335,4.578619
9.877402,5.807483
7.970777,6.270383
10.673991,6.508102
10.854328,6.930087
10.228865,5.838707
10.407254,6.103229
8.594342,5.813739
8.088794,5.285286
9.23621,3.854838
11.539201,5.261916
9.937704,3.072642
9.4589,7.201246
7.532936,3.299914
11.560217,8.927255
8.832012,6.078741
12.585258,6.869345
6.305265,4.111442
9.004639,4.05147
10.952307,5.553118
8.304352,3.26076
10.025688,2.398784
8.124628,6.366683
8.235068,4.224446
10.708184,4.413042
9.949115,4.059364
10.65861,4.111397
8.711172,4.329455
8.371203,5.327531
10.028507,5.973781
11.45989,4.445215
11.546305,8.109913
9.120626,4.896606
7.409219,6.493138
11.037038,3.348866
8.984648,5.014336
9.342855,4.40395
8.707062,5.493414
10.953818,5.831308
10.116039,5.151283
9.06312,4.879067
9.324996,2.278317
9.968557,5.869778
9.765206,4.985213
8.36606,4.032558
12.858901,4.406405
9.057445,3.495771
7.876842,4.061672
11.050963,4.465992
8.076545,4.829458
10.104975,6.236656
7.095274,2.163321
6.919389,6.018096
10.792624,5.236912
9.884204,5.808325
8.04807,5.009185
10.871285,4.422001
10.35938,6.419839
8.573613,5.580065
9.570068,3.746208
7.91626,0.753212
11.643617,5.573054
9.288987,4.996779
9.081928,3.771651
8.488478,5.030234
8.483332,1.69202
9.147388,4.882735
10.138364,3.735489
9.882151,5.049985
12.775277,6.570521
9.194308,4.542218
8.288476,6.332885
9.905371,6.256241
9.527048,3.29846
11.274762,7.919255
8.823122,4.713948
9.788397,6.278251
11.090171,6.268083
8.237946,2.960238
8.224043,6.13052
10.009525,5.955858
9.756836,3.515767
9.957773,3.534094
10.187197,5.496851
11.632731,5.302692
9.758109,5.024424
10.5661,4.888238
10.847979,6.425245
8.367415,4.253413
8.886373,3.761507
8.258226,6.765214
8.854508,6.606737
12.173853,5.623937
8.576163,6.390805
10.035052,3.412926
11.233878,2.654491
10.666813,3.48959
9.640588,2.772569
9.966899,5.456223
9.717651,5.412319
6.450179,3.344478
7.937056,4.021623
7.715536,5.937364
9.295469,6.515969
11.714101,6.259128
10.201672,5.063708
11.571154,7.472084
12.192594,5.888606
9.172562,5.014182
10.62142,5.214853
10.848723,5.495766
10.221372,2.839049
9.571335,5.166696
8.215446,3.878363
9.9294,6.141032
9.098224,4.690343
9.402405,5.107022
7.955221,3.425757
9.432066,5.848421
10.406843,3.881171
8.77905,4.063105
10.354235,2.109455
9.108299,5.835178
10.088755,5.97027
8.936904,6.511854
9.52942,2.518079
9.441239,2.641392
11.083116,7.320599
8.960946,2.912256
11.25465,6.054385
10.242972,6.198937
13.155977,8.63935
8.058168,6.057712
6.896342,4.170279
9.004427,5.487953
-1.141744,3.890218
-1.575258,6.945059
-1.525833,5.521849
-2.141988,4.57901
-4.856951,3.734955
-2.145701,3.953007
-1.143157,3.526056
-1.364576,3.682895
-3.195481,4.949389
-1.401492,3.345709
-2.714583,6.439548
-3.100598,5.719007
-2.92801,6.186094
-4.243228,3.637976
-1.844199,6.05932
-1.986272,5.217474
-1.557023,2.385033
-0.445722,4.861108
-2.028387,4.14022
-0.53771,4.0123
-0.977555,4.212148
-1.240726,7.395772
-0.862151,5.079942
-2.138985,5.243765
-1.06978,4.306742
-3.02226,5.827982
0.490546,2.547557
-2.623099,4.898871
-1.701482,2.885191
-2.780683,2.6949
-1.974382,5.059351
-4.06717,1.864559
-1.410211,3.993918
-1.310603,5.387282
-2.242954,5.410527
0.02158,4.38273
-0.316193,4.475434
-2.473694,0.247226
1.352724,3.296057
-2.671044,5.661985
-1.556437,6.2639
0.913168,5.566713
-3.027091,7.124635
-2.638391,7.59696
-3.202048,3.578088
-0.355058,3.258911
-1.013594,6.866142
-1.053412,5.285349
1.123174,6.077043
-2.829998,4.795758
0.968432,3.423656
-4.584812,3.432123
-0.87987,3.802206
-2.017015,3.960635
-3.26671,1.758818
-4.019105,4.050189
-1.879264,4.434998
-3.946858,4.042149
-1.779942,4.14711
-3.833349,3.410054
-2.005903,4.155075
-2.292169,2.484622
-1.741541,3.492421
-2.969031,3.513613
-4.467586,3.629183
-1.935662,8.201657
-1.242965,5.208324
-3.951554,0.151497
-4.208641,5.09621
-2.361268,0.38349
-2.690555,4.377526
-3.470019,3.021789
-0.538667,2.243508
-3.730522,6.226625
-3.041887,7.308921
-1.385979,5.199617
-2.520667,3.958771
-1.24206,3.043562
-3.032138,5.288057
-3.897675,2.979045
-3.431296,4.807347
-2.718526,4.285134
-2.048896,3.859086
-1.197261,3.850868
-2.222693,4.25218
-1.602726,6.012988
-2.185791,5.27805
-1.957296,3.426911
-2.050454,5.172981
-2.091684,3.206647
-1.187623,6.023093
-2.819493,5.255424
-0.337359,3.989396
-3.251766,3.571635
-3.070745,3.164325
-2.027865,3.125835
-2.245484,4.001149
-4.498816,5.249013
-2.204566,2.247417
-0.579108,1.821691
-1.353188,4.180401
-2.346359,6.158046
-2.348042,3.402328
0.292291,1.246262
-1.739116,3.267214
-3.483845,1.127359
-3.372862,5.829345
-3.022761,6.206295
-2.738025,2.015881
-2.663406,6.102998
-2.768382,5.318635
-2.195985,5.903515
-1.382339,2.839143
-5.093332,3.029958
-3.726608,4.530303
-3.842306,1.219879
0.856225,3.562509
-0.500176,3.728596
-3.565807,6.060839
0.906711,5.008916
-3.166183,1.977672
-2.098459,3.893428
0.718313,1.970896
-0.468825,3.608485
-2.184084,6.28307
-1.76769,2.81575
-2.185117,3.480845
-1.171979,3.550071
-2.980573,3.724901
2.521942,4.529008
-5.062243,5.664222
-1.548948,3.238167
-1.377129,6.295919
-2.848554,4.745336
-3.401217,4.564629
-1.041535,6.779989
-2.144193,5.328303
-0.924015,5.053995
-1.539243,2.006632
-1.333725,3.163453
-1.717191,3.731456
