x,y
11.518753,6.814413
6.746069,4.193922
10.994704,4.185808
9.443586,5.03656
8.189076,5.788035
10.479193,5.940802
10.683862,5.986435
10.225466,2.715186
9.901391,6.702647
9.53993,2.651702
9.916728,2.787107
12.13947,7.218424
11.261176,5.173397
8.795169,3.230773
11.61047,4.802868
9.18048,3.675007
11.34697,3.878397
10.057773,5.945923
9.852582,4.293112
9.420536,0.962263
9.588057,3.436036
11.648545,6.378903
8.762041,6.67463
12.893613,6.028627
10.144284,5.045087
12.337357,7.634403
10.768653,2.773913
10.743593,6.572454
9.299758,4.829161
9.264398,6.394462
10.381536,6.198679
12.108608,3.677611
10.666162,5.103482
11.338197,6.271921
7.935479,4.329443
10.981915,5.03058
9.609366,3.818657
10.37844,3.667405
10.803927,6.234446
9.437062,5.281651
9.974987,5.89388
7.168132,4.850305
10.572513,3.818298
8.373921,6.097546
10.820443,4.031041
10.566852,6.84893
8.837784,3.763979
8.882293,2.104028
9.852352,4.13199
9.421295,4.597509
7.57059,4.104697
10.03868,6.113908
11.145974,3.694508
12.153454,5.386145
8.900373,4.964579
11.894589,6.980903
10.610944,4.755873
9.387942,6.209917
7.900486,1.885943
6.513068,4.893122
10.020682,6.357168
9.522894,4.358859
10.0886,3.995435
10.787313,5.544942
10.815848,5.985055
10.549498,6.678869
8.188714,4.620867
11.078509,8.940114
11.15485,6.25639
10.041373,4.865734
10.994026,4.445598
9.103561,4.332934
9.91066,4.411116
9.813345,5.971408
10.605846,4.417081
9.392996,4.325194
9.688542,4.233451
10.997127,7.003348
10.977193,3.395984
10.172363,3.773699
10.722425,4.510222
10.912282,2.603814
11.054633,4.689047
9.766646,6.071878
9.264363,5.199295
8.564481,5.281583
7.586668,2.640587
11.038646,4.6379
8.619241,5.410278
10.510727,4.631655
10.969357,6.298012
11.137366,4.632345
8.741358,0.849338
10.394212,5.132814
10.335544,6.282199
12.102773,5.681882
8.396908,4.075244
10.209782,5.532224
11.212438,5.272686
10.799519,7.38817
10.354825,2.925361
8.629585,3.181909
10.205421,5.553483
9.635276,4.905514
8.731306,3.456318
10.370529,5.84577
8.503887,4.529199
7.642378,3.127449
8.282874,4.514037
9.0457,4.771643
8.828065,6.677297
10.423337,6.281395
9.095336,6.226711
13.366568,5.489237
13.192366,7.613791
7.978461,4.844441
10.197812,4.800237
12.552033,3.903749
11.306468,3.93619
10.482225,4.621877
10.379542,3.853831
8.608954,4.130715
10.328485,4.067355
11.934181,6.579841
10.451792,6.989548
13.244101,8.328551
9.010096,5.78694
8.704418,3.133677
9.100357,4.176364
9.569091,6.172233
9.540328,5.51567
9.991983,4.422148
8.353057,5.518463
10.051121,6.497262
8.633512,4.386419
11.741774,6.137399
6.652932,2.159119
10.109653,3.360923
6.861809,3.172157
10.186968,3.65554
10.994652,3.329727
10.204454,4.144998
9.95789,5.702056
12.15996,5.361528
10.207034,4.942724
11.297885,3.504936
10.729713,6.883091
7.951987,4.971067
9.060266,3.834277
10.180127,4.880501
11.014079,5.278208
8.897028,3.894631
9.14218,5.946994
11.446736,5.501587
9.277205,5.85369
8.56989,4.021767
8.880827,4.446698
9.424655,2.718985
10.373465,5.275097
9.093282,4.665999
10.407036,7.425303
9.103645,5.583378
9.926634,3.710572
7.176395,2.873933
11.27469,3.451039
6.313614,4.872003
11.455324,4.269783
11.594359,8.086096
9.587044,4.632922
7.913562,5.09228
9.675958,-0.242193
11.842684,5.168195
11.3872,6.813182
10.805619,5.75529
9.704654,3.004003
10.033892,5.176891
8.95677,3.351579
9.061158,7.338582
9.275743,6.386728
7.231915,4.739641
10.504364,4.190838
9.073006,2.496653
8.969512,3.634064
12.619192,5.740051
9.192708,4.187568
7.817823,5.011159
8.185007,4.401315
8.972026,5.399054
9.245927,5.859176
7.670965,4.030957
9.21668,4.30148
8.06443,3.621992
10.626669,8.112096
11.746754,5.153686
10.670597,5.132608
12.373902,7.463657
9.914775,2.115232
12.510661,4.416384
10.435279,6.533581
10.595483,6.945743
-0.973407,3.854066
-2.956566,3.053351
1.244705,6.12627
-1.314972,4.194581
-1.981378,2.224162
-0.843814,1.179874
-4.106866,2.483121
-0.883214,5.286231
-0.214316,5.042534
0.890197,5.74826
-4.012758,2.275979
-1.691582,4.657455
-1.559353,4.442909
-0.287995,6.562447
-0.109569,5.323216
-5.722156,3.850152
-5.045288,4.133928
-2.603225,3.354245
-2.392105,4.596945
-2.024808,5.347475
-4.647139,2.36638
-2.632646,3.36849
-2.000559,5.946844
-1.644109,3.897983
-1.243942,4.293737
-3.143803,5.537491
-1.518563,3.007302
-4.264895,3.943468
-2.711011,4.030831
-1.224055,2.775333
-1.631388,5.822394
0.055957,3.647596
-0.607262,6.31572
-1.39168,2.938257
-0.116645,2.472548
0.856343,7.310441
-0.548608,4.643496
-2.046865,3.009524
0.001442,4.28398
-2.707915,4.6327
-2.551889,2.892108
-0.706313,3.407985
-1.054934,3.923653
-2.35078,3.485214
-0.795655,4.644014
-4.850741,2.11887
-2.579161,5.489998
-0.536196,4.158736
-2.987229,0.935542
-1.247133,3.613956
-2.893003,5.618069
-0.299472,4.132294
-2.003262,4.560309
-1.15121,1.423404
-1.458638,6.709691
-1.922437,4.377686
-0.146679,6.464676
-3.691574,0.936553
-6.311336,1.804043
-1.92137,4.516429
-3.315349,4.89862
-2.174347,2.783073
-2.11948,4.758136
-2.771987,3.004819
-1.745461,4.03801
-0.261297,4.861697
-3.99431,1.311116
-0.176265,6.042849
-0.963281,3.878199
-2.179932,1.866825
-3.196602,3.148431
-0.847919,2.93222
-0.240053,5.040544
0.446499,5.572856
-1.521732,1.457442
-1.052276,6.509374
0.832517,7.666648
-0.782031,4.462129
-0.358343,5.048449
-4.29519,3.416064
-1.802972,3.011551
-2.429497,4.792053
-2.097165,5.082907
-1.985689,3.778075
-5.1215,1.586321
-2.920914,2.451653
-2.874538,2.97597
-1.20404,5.741692
-1.863782,2.581516
-3.222983,3.788237
-3.823298,2.830538
-3.597619,3.913045
-2.571621,5.268157
-2.531253,1.612748
0.472331,5.534759
-3.831657,4.094525
-1.289022,4.678753
0.610435,4.26324
-1.846232,2.730161
-3.984324,3.753227
0.445096,5.654099
-1.981127,3.703405
0.203175,5.525685
-0.780083,3.604091
-4.470772,0.47232
-4.932907,3.06499
-1.064107,4.890964
-3.614878,3.240482
-2.493666,2.401338
-2.879836,3.6154
-1.726158,7.136656
-3.861118,2.313342
-0.110196,4.594603
-1.448393,3.283387
-1.929813,3.600034
-2.985356,3.147743
1.163476,5.616474
-4.371131,5.244753
-2.968892,3.461782
-1.727306,3.705423
-1.283745,1.304269
-4.690221,2.468447
-0.300234,4.692515
-2.278983,2.281146
-1.712586,6.138272
-3.382349,4.083069
-1.26295,5.152183
-0.141222,5.227936
-2.972702,4.749864
-2.134723,5.875169
-1.353255,0.808782
-2.817489,4.022269
-0.901287,5.756633
-3.570817,0.109593
-0.908838,2.499257
-3.165466,3.0662
-2.34193,2.697389
-3.143691,4.036459
-2.147273,4.694575
0.19205,3.749484
-1.143924,3.988006
-4.275698,2.105621
-2.234293,2.433102
-0.787196,3.19003
-1.648383,4.040501
-2.600313,5.405225
-3.935997,4.792057
-1.284162,3.92966
-1.975855,2.980516
-1.293117,4.138009
-2.601454,5.114434
0.59962,5.305265
-3.191933,3.361493
0.738481,5.338259
-0.305461,5.065425
-2.030519,2.358112
-2.322523,3.098123
-2.324921,2.649051
-1.95783,3.472129
-3.739877,2.825358
-1.041475,6.086026
-0.493081,6.166866
-2.217908,2.703613
-3.313972,3.892435
-2.52519,2.573816
-3.660803,3.296481
-1.922067,3.074879
0.621336,5.526955
-1.092405,3.774146
-1.555201,3.214311
-4.082274,1.662019
-4.27944,3.417899
0.21499,7.050493
-3.508554,3.858615
-2.7942,3.314585
-4.025667,2.690151
-3.187434,4.789035
-2.105918,4.255142
-1.830012,5.033562
-2.450184,5.772095
-4.868582,1.697038
